sku,nome_prodotto,brand,categoria
KRF014,MASTER CYLINDER NUTS SET,BRAKI,ALL BICYCLE#BICI#ALL#REP
KRF015,MASTER CYLINDER COVER AND SCREWS,BRAKI,ALL BICYCLE#BICI#ALL#REP
KRF016,MASTER CYLINDER'S CARTRIDGE Ø9 MM,BRAKI,ALL BICYCLE#BICI#ALL#REP
KRF017,MASTER CYLINDER'S CARTRIDGE Ø10 MM,BRAKI,ALL BICYCLE#BICI#ALL#REP
KRF018,COMPLETE CALIPER 2.0 FRONT,BRAKI,ALL BICYCLE#BICI#ALL#BICYCLE CALIPER
KRF019,COMPLETE CALIPER 2.0 REAR,BRAKI,ALL BICYCLE#BICI#ALL#BICYCLE CALIPER
KRF020,KIT SERVICE CALIPER O-RINGS AND PISTONS (1CP),BRAKI,ALL BICYCLE#BICI#ALL#REP
KRF021,PINS FOR PADS FIXING (1 PAIR),BRAKI,ALL BICYCLE#BICI#ALL#REP
KRF023,BLEEDING KIT,BRAKI,ALL BICYCLE#BICI#ALL#REP
KS0004,KIT SPECIAL [DISCS + PADS],BRAKI,KIT#OFF ROAD#URBAN#KIT2D
KS0005,KIT SPECIAL [DISCS + PADS],BRAKI,KIT#OFF ROAD#URBAN#KIT2D
KS0006,KIT SPECIAL [DISCS + PADS],BRAKI,KIT#OFF ROAD#URBAN#KIT2D
KS0007,KIT SPECIAL [DISCS + PADS],BRAKI,KIT#OFF ROAD#URBAN#KIT2D
KS0009,KIT SPECIAL [DISCS + PADS],BRAKI,KIT#OFF ROAD#URBAN#KIT2D
KS2001,COMPLETE SYSTEM INCAS Ø9 (95/180) BRAIDED TUBES,BRAKI,KIT#BICI#RACING#KIT3D
KS2002,COMPLETE SYSTEM INCAS Ø9 (95/180) KEVLAR STD TUBES,BRAKI,KIT#BICI#RACING#KIT3D
KS2004,COMPLETE SYSTEM INCAS Ø9 (85/180) BRAIDED TUBES Ø5 mm,BRAKI,KIT#BICI#RACING#KIT3D
KS2005,COMPLETE SYSTEM INCAS Ø9 (95/180) Ø180 DISK TH. 3,BRAKI,KIT#BICI#RACING#KIT3D
KS2006,COMPLETE SYSTEM INCAS Ø9 (95/180) Ø203 DISK TH. 3,BRAKI,KIT#BICI#RACING#KIT3D
KS2008,COMPLETE SYSTEM INCAS Ø9 (85/180) BRAID.T. Ø5 DISK Ø180 TH.3,BRAKI,KIT#BICI#RACING#KIT3D
KS2009,COMPLETE SYSTEM INCAS Ø9 (85/180) BRAID.T. Ø5 DISK Ø203 TH.3,BRAKI,KIT#BICI#RACING#KIT3D
KS2300,COMPLETE SYSTEM FIRST Ø9 (85/180) BRAIDED TUBES Ø5,BRAKI,KIT#BICI#RACING#KIT3D
KS2303,COMPLETE SYSTEM FIRST Ø9 (85/180) KEVLAR STD TUBES,BRAKI,KIT#BICI#RACING#KIT3D
KS2400,COMPLETE SYSTEM EVO1 Ø9 (85/180) BRAIDED TUBES Ø5,BRAKI,KIT#BICI#RACING#KIT3D
KS2900,COMPLETE SYSTEM Ø10 4P (90/180) T. Ø5,BRAKI,KIT#BICI#RACING#4P
LW2001,LIGHTWAVE BICYCLE DISK Ø140,BRAKI,DISKS#BICI#CHALLENGE#W-FLO
